id,word1,word2,antmorph,gold
tag-verb-pairs.train1,resurrect,revive,0,0
tag-verb-pairs.train2,frustrate,hinder,0,0
tag-verb-pairs.train3,dishonor,honor,1,1
tag-verb-pairs.train4,enjoy,suffer,0,1
tag-verb-pairs.train5,deny,acknowledge,0,1
tag-verb-pairs.train6,injure,benefit,0,1
tag-verb-pairs.train7,take,draw,0,0
tag-verb-pairs.train8,wish,resent,0,1
tag-verb-pairs.train9,inter,disinter,1,1
tag-verb-pairs.train10,bear,assume,0,0
tag-verb-pairs.train11,align,skew,0,1
tag-verb-pairs.train12,destroy,repair,0,1
tag-verb-pairs.train13,ignore,mention,0,1
tag-verb-pairs.train14,know,recognise,0,0
tag-verb-pairs.train15,break,soften,0,0
tag-verb-pairs.train16,reward,honor,0,0
tag-verb-pairs.train17,stow,hold,0,0
tag-verb-pairs.train18,combine,unite,0,0
tag-verb-pairs.train19,theorize,hypothesize,0,0
tag-verb-pairs.train20,range,reach,0,0
tag-verb-pairs.train21,ordain,enact,0,0
tag-verb-pairs.train22,usher,show,0,0
tag-verb-pairs.train23,adjudicate,judge,0,0
tag-verb-pairs.train24,lose,acquire,0,1
tag-verb-pairs.train25,feel,find,0,0
tag-verb-pairs.train26,change,remain,0,1
tag-verb-pairs.train27,dispose,order,0,0
tag-verb-pairs.train28,quench,light,0,1
tag-verb-pairs.train29,concur,dissent,0,1
tag-verb-pairs.train30,stand,sustain,0,0
tag-verb-pairs.train31,constrain,force,0,0
tag-verb-pairs.train32,impoverish,enrich,0,1
tag-verb-pairs.train33,act,execute,0,0
tag-verb-pairs.train34,reduce,elaborate,0,1
tag-verb-pairs.train35,undress,dress,1,1
tag-verb-pairs.train36,kick,drive,0,0
tag-verb-pairs.train37,laugh,cry,0,1
tag-verb-pairs.train38,condone,excuse,0,0
tag-verb-pairs.train39,hook,unhook,1,1
tag-verb-pairs.train40,negate,support,0,1
tag-verb-pairs.train41,ice,freeze,0,0
tag-verb-pairs.train42,mark,denounce,0,0
tag-verb-pairs.train43,found,abolish,0,1
tag-verb-pairs.train44,precede,succeed,0,1
tag-verb-pairs.train45,sit,rise,0,1
tag-verb-pairs.train46,proscribe,prescribe,0,1
tag-verb-pairs.train47,prohibit,let,0,1
tag-verb-pairs.train48,vibrate,oscillate,0,0
tag-verb-pairs.train49,dissent,agree,0,1
tag-verb-pairs.train50,encounter,battle,0,0
tag-verb-pairs.train51,discharge,convict,0,1
tag-verb-pairs.train52,disallow,permit,0,1
tag-verb-pairs.train53,sit,position,0,0
tag-verb-pairs.train54,mingle,mix,0,0
tag-verb-pairs.train55,have,reject,0,1
tag-verb-pairs.train56,lie,arise,0,1
tag-verb-pairs.train57,have,refrain,0,1
tag-verb-pairs.train58,improve,impair,0,1
tag-verb-pairs.train59,knock,tap,0,0
tag-verb-pairs.train60,can,hire,0,1
tag-verb-pairs.train61,contain,comprise,0,0
tag-verb-pairs.train62,pinch,squeeze,0,0
tag-verb-pairs.train63,reach,strain,0,0
tag-verb-pairs.train64,operate,disengage,0,1
tag-verb-pairs.train65,set,rise,0,1
tag-verb-pairs.train66,enforce,impose,0,0
tag-verb-pairs.train67,deal,hand,0,0
tag-verb-pairs.train68,unite,separate,0,1
tag-verb-pairs.train69,oppose,match,0,0
tag-verb-pairs.train70,shorten,expand,0,1
tag-verb-pairs.train71,withdraw,lock,0,1
tag-verb-pairs.train72,prove,justify,0,0
tag-verb-pairs.train73,button,unbutton,1,1
tag-verb-pairs.train74,steal,slip,0,0
tag-verb-pairs.train75,refrain,move,0,1
tag-verb-pairs.train76,elevate,break,0,1
tag-verb-pairs.train77,thank,bless,0,0
tag-verb-pairs.train78,fail,pass,0,1
tag-verb-pairs.train79,destabilize,stabilize,1,1
tag-verb-pairs.train80,wane,rise,0,1
tag-verb-pairs.train81,enrich,deprive,0,1
tag-verb-pairs.train82,sway,rock,0,0
tag-verb-pairs.train83,please,anger,0,1
tag-verb-pairs.train84,jostle,push,0,0
tag-verb-pairs.train85,take,desist,0,1
tag-verb-pairs.train86,raze,erect,0,1
tag-verb-pairs.train87,forge,form,0,0
tag-verb-pairs.train88,find,supply,0,0
tag-verb-pairs.train89,swim,sink,0,1
tag-verb-pairs.train90,sting,burn,0,0
tag-verb-pairs.train91,unfasten,fasten,1,1
tag-verb-pairs.train92,regurgitate,vomit,0,0
tag-verb-pairs.train93,get,fashion,0,0
tag-verb-pairs.train94,enter,participate,0,0
tag-verb-pairs.train95,target,point,0,0
tag-verb-pairs.train96,chat,gossip,0,0
tag-verb-pairs.train97,mold,forge,0,0
tag-verb-pairs.train98,generalize,specify,0,1
tag-verb-pairs.train99,feature,miss,0,1
tag-verb-pairs.train100,miss,get,0,1
tag-verb-pairs.train101,change,stay,0,1
tag-verb-pairs.train102,recite,declaim,0,0
tag-verb-pairs.train103,boo,clap,0,1
tag-verb-pairs.train104,inflict,administer,0,0
tag-verb-pairs.train105,disintegrate,crumble,0,0
tag-verb-pairs.train106,ban,censor,0,0
tag-verb-pairs.train107,show,prove,0,0
tag-verb-pairs.train108,pocket,steal,0,0
tag-verb-pairs.train109,clear,cloud,0,1
tag-verb-pairs.train110,divest,place,0,1
tag-verb-pairs.train111,check,disagree,0,1
tag-verb-pairs.train112,rise,fall,0,1
tag-verb-pairs.train113,mesh,operate,0,0
tag-verb-pairs.train114,complete,perfect,0,0
tag-verb-pairs.train115,dissociate,associate,0,1
tag-verb-pairs.train116,acquit,convict,0,1
tag-verb-pairs.train117,cloud,clear,0,1
tag-verb-pairs.train118,miss,perceive,0,1
tag-verb-pairs.train119,specialize,diversify,0,1
tag-verb-pairs.train120,enrich,deplete,0,1
tag-verb-pairs.train121,fuse,defuse,1,1
tag-verb-pairs.train122,sanction,support,0,0
tag-verb-pairs.train123,control,predominate,0,0
tag-verb-pairs.train124,centralise,decentralise,1,1
tag-verb-pairs.train125,raise,levy,0,0
tag-verb-pairs.train126,assert,defend,0,0
tag-verb-pairs.train127,close,open,0,1
tag-verb-pairs.train128,subtract,add,0,1
tag-verb-pairs.train129,bivouac,camp,0,0
tag-verb-pairs.train130,disperse,gather,0,1
tag-verb-pairs.train131,bar,stop,0,0
tag-verb-pairs.train132,flourish,develop,0,0
tag-verb-pairs.train133,lock,disengage,0,1
tag-verb-pairs.train134,observe,breach,0,1
tag-verb-pairs.train135,sew,rip,0,1
tag-verb-pairs.train136,hire,pay,0,0
tag-verb-pairs.train137,stick,get,0,0
tag-verb-pairs.train138,unzip,zip,1,1
tag-verb-pairs.train139,flatten,sharpen,0,1
tag-verb-pairs.train140,prohibit,permit,0,1
tag-verb-pairs.train141,massacre,slaughter,0,0
tag-verb-pairs.train142,challenge,question,0,0
tag-verb-pairs.train143,survey,follow,0,0
tag-verb-pairs.train144,confirm,dispute,0,1
tag-verb-pairs.train145,modify,moderate,0,0
tag-verb-pairs.train146,reserve,retain,0,0
tag-verb-pairs.train147,elevate,relegate,0,1
tag-verb-pairs.train148,praise,ridicule,0,1
tag-verb-pairs.train149,resist,surrender,0,1
tag-verb-pairs.train150,discover,find,0,0
tag-verb-pairs.train151,detect,observe,0,0
tag-verb-pairs.train152,impair,damage,0,0
tag-verb-pairs.train153,direct,maneuver,0,0
tag-verb-pairs.train154,feed,starve,0,1
tag-verb-pairs.train155,pack,carry,0,0
tag-verb-pairs.train156,break,observe,0,1
tag-verb-pairs.train157,calculate,figure,0,0
tag-verb-pairs.train158,like,hate,0,1
tag-verb-pairs.train159,draw,write,0,0
tag-verb-pairs.train160,bless,damn,0,1
tag-verb-pairs.train161,demand,question,0,0
tag-verb-pairs.train162,freeze,boil,0,1
tag-verb-pairs.train163,expand,factor,0,1
tag-verb-pairs.train164,float,settle,0,1
tag-verb-pairs.train165,downplay,exaggerate,0,1
tag-verb-pairs.train166,thin,thicken,0,1
tag-verb-pairs.train167,cause,keep,0,0
tag-verb-pairs.train168,conspire,contend,0,1
tag-verb-pairs.train169,drag,trail,0,0
tag-verb-pairs.train170,manage,administer,0,0
tag-verb-pairs.train171,disorder,order,1,1
tag-verb-pairs.train172,cleave,separate,0,0
tag-verb-pairs.train173,stop,begin,0,1
tag-verb-pairs.train174,fall,ascend,0,1
tag-verb-pairs.train175,produce,yield,0,0
tag-verb-pairs.train176,dispose,discard,0,0
tag-verb-pairs.train177,gain,recede,0,1
tag-verb-pairs.train178,flip,switch,0,0
tag-verb-pairs.train179,offend,please,0,1
tag-verb-pairs.train180,relent,stand,0,1
tag-verb-pairs.train181,exaggerate,minimize,0,1
tag-verb-pairs.train182,yank,pull,0,0
tag-verb-pairs.train183,converge,diverge,0,1
tag-verb-pairs.train184,ravage,spoil,0,0
tag-verb-pairs.train185,inhale,exhale,0,1
tag-verb-pairs.train186,dislike,like,1,1
tag-verb-pairs.train187,forget,acquire,0,1
tag-verb-pairs.train188,perform,fulfill,0,0
tag-verb-pairs.train189,regain,lose,0,1
tag-verb-pairs.train190,elude,escape,0,0
tag-verb-pairs.train191,wash,rinse,0,0
tag-verb-pairs.train192,cement,break,0,1
tag-verb-pairs.train193,intend,extend,0,0
tag-verb-pairs.train194,slay,dispatch,0,0
tag-verb-pairs.train195,alive,dead,0,1
tag-verb-pairs.train196,allow,veto,0,1
tag-verb-pairs.train197,accept,refuse,0,1
tag-verb-pairs.train198,oppose,pit,0,0
tag-verb-pairs.train199,exhibit,present,0,0
tag-verb-pairs.train200,frighten,fear,0,0
tag-verb-pairs.train201,sit,arise,0,1
tag-verb-pairs.train202,approximate,approach,0,0
tag-verb-pairs.train203,wish,bid,0,0
tag-verb-pairs.train204,repatriate,exile,0,1
tag-verb-pairs.train205,give,show,0,0
tag-verb-pairs.train206,permit,disallow,0,1
tag-verb-pairs.train207,shoot,charge,0,0
tag-verb-pairs.train208,sweat,toil,0,0
tag-verb-pairs.train209,word,state,0,0
tag-verb-pairs.train210,restate,repeat,0,0
tag-verb-pairs.train211,muster,rally,0,0
tag-verb-pairs.train212,release,immobilize,0,1
tag-verb-pairs.train213,descend,rise,0,1
tag-verb-pairs.train214,disbelieve,believe,1,1
tag-verb-pairs.train215,utilise,apply,0,0
tag-verb-pairs.train216,designate,appoint,0,0
tag-verb-pairs.train217,admonish,inform,0,0
tag-verb-pairs.train218,wedge,free,0,1
tag-verb-pairs.train219,announce,hide,0,1
tag-verb-pairs.train220,hoard,hide,0,0
tag-verb-pairs.train221,court,seek,0,0
tag-verb-pairs.train222,deform,twist,0,0
tag-verb-pairs.train223,tame,subdue,0,0
tag-verb-pairs.train224,allude,indicate,0,0
tag-verb-pairs.train225,open,close,0,1
tag-verb-pairs.train226,find,lose,0,1
tag-verb-pairs.train227,pay,hire,0,0
tag-verb-pairs.train228,love,detest,0,1
tag-verb-pairs.train229,accomplish,reach,0,0
tag-verb-pairs.train230,cease,uphold,0,1
tag-verb-pairs.train231,scatter,crowd,0,1
tag-verb-pairs.train232,minimize,amplify,0,1
tag-verb-pairs.train233,keep,violate,0,1
tag-verb-pairs.train234,swim,settle,0,1
tag-verb-pairs.train235,free,deposit,0,1
tag-verb-pairs.train236,diverge,conform,0,1
tag-verb-pairs.train237,lift,rise,0,0
tag-verb-pairs.train238,stand,yield,0,1
tag-verb-pairs.train239,inter,exhume,0,1
tag-verb-pairs.train240,suffer,enjoy,0,1
tag-verb-pairs.train241,prosper,succeed,0,0
tag-verb-pairs.train242,revive,restore,0,1
tag-verb-pairs.train243,exempt,implement,0,1
tag-verb-pairs.train244,fund,supply,0,0
tag-verb-pairs.train245,quit,stay,0,1
tag-verb-pairs.train246,display,discover,0,0
tag-verb-pairs.train247,meet,satisfy,0,0
